    Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
00:40:26 |     1 |     5.000e-04 | 235066.1207 |        208.1963 |    28.4625 |          8.7020 |            1733
00:40:33 |     2 |     5.000e-04 |   134.7271 |         96.5341 |    14.1956 |          6.3863 |            1735
00:40:40 |     3 |     5.000e-04 |    81.3156 |         62.6092 |     7.9088 |          5.5459 |            1735
00:40:47 |     4 |     5.000e-04 |    62.3561 |         52.4097 |     8.0508 |          5.0154 |            1748
00:40:54 |     5 |     5.000e-04 |    53.8673 |         42.6210 |     6.0950 |          4.5115 |            1748
00:41:01 |     6 |     5.000e-04 |    43.5343 |         48.9683 |    15.4774 |          4.1816 |            1748
00:41:08 |     7 |     5.000e-04 |    39.1324 |         51.1451 |    18.7351 |          3.9138 |            1748
00:41:14 |     8 |     5.000e-04 |    33.7392 |         31.5661 |     6.4157 |          3.7105 |            1748
00:41:21 |     9 |     5.000e-04 |    31.9597 |         28.2094 |     4.5426 |          3.5549 |            1753
00:41:28 |    10 |     5.000e-04 |    31.4613 |         29.4915 |     8.9997 |          3.4365 |            1753
00:41:35 |    11 |     5.000e-04 |    29.4805 |         33.6209 |    12.9305 |          3.3538 |            1759
00:41:43 |    12 |     5.000e-04 |    26.3459 |         28.0299 |     9.3793 |          3.2750 |            1759
00:41:50 |    13 |     5.000e-04 |    24.6722 |         26.7721 |     9.5518 |          3.1614 |            1759
00:41:56 |    14 |     5.000e-04 |    24.5856 |         39.1252 |    18.2551 |          3.1530 |            1759
00:42:04 |    15 |     5.000e-04 |    23.4717 |         22.2579 |     6.5762 |          3.0327 |            1759
00:42:10 |    16 |     5.000e-04 |    23.4298 |         23.7526 |     9.8207 |          2.9335 |            1759
00:42:17 |    17 |     5.000e-04 |    21.4675 |         18.0871 |     3.6448 |          2.8421 |            1759
00:42:24 |    18 |     5.000e-04 |    28.7629 |        132.5972 |    47.9097 |          2.8125 |            1759
00:42:31 |    19 |     5.000e-04 |    26.1466 |         60.1315 |    28.9855 |          2.7792 |            1759
00:42:38 |    20 |     5.000e-04 |    25.0737 |         21.7203 |    11.4169 |          2.6437 |            1759
00:42:45 |    21 |     5.000e-04 |    28.6648 |        174.9267 |    56.5529 |          2.6489 |            1759
00:42:52 |    22 |     5.000e-04 |    34.4851 |         29.3529 |    16.1182 |          2.5626 |            1759
00:42:59 |    23 |     5.000e-04 |   476.5016 |        247.9167 |    66.7520 |          2.7810 |            1774
00:43:06 |    24 |     5.000e-04 |   299.0026 |       3700.6014 |   269.6573 |          3.4444 |            1774
00:43:13 |    25 |     5.000e-04 |   360.4697 |         23.0448 |    11.0555 |          2.6390 |            1774
00:43:21 |    26 |     5.000e-04 |  1556.8534 |       3608.9432 |   258.4033 |          5.7207 |            1774
00:43:29 |    27 |     5.000e-04 |   996.6315 |         23.4493 |    14.2420 |          2.4543 |            1774
00:43:36 |    28 |     5.000e-04 |    40.0818 |         14.7040 |     6.4608 |          2.4001 |            1774
00:43:43 |    29 |     5.000e-04 |    17.3565 |         41.2277 |    22.9683 |          2.3783 |            1774
00:43:50 |    30 |     5.000e-04 |   129.7156 |        205.3590 |    59.3002 |          2.7509 |            1774
00:43:57 |    31 |     5.000e-04 |   487.1367 |        423.5796 |    90.7638 |          2.2651 |            1774
00:44:04 |    32 |     5.000e-04 |    94.6261 |         35.2769 |    16.5679 |          2.2109 |            1774
00:44:11 |    33 |     5.000e-04 |  1960.4942 |        227.6409 |    61.3771 |          2.9160 |            1774
00:44:18 |    34 |     5.000e-04 |    25.6943 |         15.6762 |     9.8407 |          2.2494 |            1774
00:44:25 |    35 |     5.000e-04 |    16.7148 |         11.9073 |     5.9128 |          2.1379 |            1774
00:44:32 |    36 |     5.000e-04 |    19.7033 |         15.9308 |    11.2689 |          2.0788 |            1774
00:44:39 |    37 |     5.000e-04 |    94.7546 |        168.3598 |    55.8996 |          2.2282 |            1774
00:44:45 |    38 |     5.000e-04 |    92.6151 |         61.5332 |    32.4270 |          2.0281 |            1774
00:44:53 |    39 |     5.000e-04 |  1595.0468 |         78.7716 |    24.1164 |          3.6505 |            1774
00:44:59 |    40 |     5.000e-04 |    40.2963 |         11.7917 |     3.9894 |          2.2477 |            1774
00:45:07 |    41 |     5.000e-04 |    14.0741 |         12.1918 |     6.9666 |          2.0890 |            1774
00:45:14 |    42 |     5.000e-04 |    11.2625 |         25.5616 |    18.2400 |          2.0051 |            1774
00:45:21 |    43 |     5.000e-04 |    12.9757 |          9.1912 |     3.3917 |          1.9878 |            1774
00:45:28 |    44 |     5.000e-04 |    11.1655 |         11.7957 |     8.5726 |          1.9120 |            1774
00:45:35 |    45 |     5.000e-04 |    13.6068 |         11.9405 |     9.1884 |          1.8801 |            1774
00:45:42 |    46 |     5.000e-04 |   114.0727 |        379.5427 |    82.7258 |          2.9061 |            1774
00:45:49 |    47 |     5.000e-04 |    28.2441 |         13.4311 |    10.3696 |          1.8710 |            1774
00:45:56 |    48 |     5.000e-04 |   562.5873 |         24.2176 |    13.7911 |          2.2980 |            1774
00:46:03 |    49 |     5.000e-04 |    13.0753 |         10.3289 |     5.7602 |          1.9595 |            1774
00:46:10 |    50 |     5.000e-04 |    10.9988 |          8.2594 |     2.8951 |          1.8870 |            1774
00:46:18 |    51 |     5.000e-04 |    15.0392 |         10.1342 |     7.0240 |          1.8420 |            1774
00:46:25 |    52 |     5.000e-04 |    10.5109 |          7.7188 |     3.1272 |          1.7895 |            1774
00:46:32 |    53 |     5.000e-04 |    14.3002 |          8.7836 |     5.8784 |          1.7622 |            1774
00:46:39 |    54 |     5.000e-04 |    87.1142 |        263.3971 |    67.6167 |          2.0785 |            1774
00:46:46 |    55 |     5.000e-04 |   199.1030 |         13.3085 |    10.5057 |          1.8315 |            1774
00:46:54 |    56 |     5.000e-04 |     9.8044 |          8.6929 |     5.6212 |          1.7656 |            1774
00:47:01 |    57 |     5.000e-04 |    11.8102 |         10.2691 |     8.3532 |          1.7197 |            1774
00:47:08 |    58 |     5.000e-04 |    16.4683 |         11.3748 |    10.0236 |          1.6615 |            1774
00:47:15 |    59 |     5.000e-04 |    18.7847 |         13.0147 |    10.4815 |          1.6810 |            1774
00:47:22 |    60 |     5.000e-04 |   367.8575 |        256.7063 |    66.9558 |          3.3008 |            1774
00:47:29 |    61 |     5.000e-04 |    69.2784 |          9.5502 |     2.6362 |          1.9883 |            1774
00:47:36 |    62 |     5.000e-04 |     8.8135 |          8.5511 |     4.8964 |          1.7725 |            1774
00:47:43 |    63 |     5.000e-04 |     9.2075 |          9.1015 |     6.9597 |          1.6982 |            1774
00:47:51 |    64 |     5.000e-04 |     6.9027 |          6.4039 |     2.5599 |          1.6283 |            1774
00:47:58 |    65 |     5.000e-04 |     8.1429 |          9.1705 |     8.2807 |          1.5781 |            1774
00:48:05 |    66 |     5.000e-04 |     7.5662 |          5.6492 |     2.0738 |          1.5410 |            1774
00:48:12 |    67 |     5.000e-04 |     5.6561 |          5.3291 |     2.2163 |          1.5001 |            1774
00:48:19 |    68 |     5.000e-04 |     9.8615 |          6.3313 |     5.0413 |          1.4678 |            1774
00:48:26 |    69 |     5.000e-04 |    10.5251 |         27.6646 |    21.2749 |          1.4412 |            1774
00:48:33 |    70 |     5.000e-04 |    13.2807 |          6.1627 |     4.2448 |          1.4891 |            1774
00:48:40 |    71 |     5.000e-04 |    34.5786 |        199.8302 |    61.2949 |          1.9897 |            1774
00:48:47 |    72 |     5.000e-04 |    47.4155 |          9.7509 |     8.9971 |          1.4950 |            1774
