    Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
00:53:17 |     1 |     5.000e-04 | 244808.2146 |        404.1635 |    36.7251 |         13.6048 |            2318
00:53:25 |     2 |     5.000e-04 |   262.6924 |        163.8031 |    18.3191 |          9.1021 |            2357
00:53:34 |     3 |     5.000e-04 |   133.0165 |        106.7281 |    12.8290 |          7.4545 |            2357
00:53:43 |     4 |     5.000e-04 |    95.7092 |         85.5125 |    12.3815 |          6.5721 |            2357
00:53:52 |     5 |     5.000e-04 |    79.5381 |         70.8858 |    10.7016 |          6.0058 |            2357
00:54:01 |     6 |     5.000e-04 |    66.5074 |         60.8378 |     9.1940 |          5.5866 |            2357
00:54:09 |     7 |     5.000e-04 |    57.0956 |         68.2901 |    17.6353 |          5.2563 |            2357
00:54:18 |     8 |     5.000e-04 |    52.1608 |         48.7413 |     8.3481 |          4.9748 |            2357
00:54:27 |     9 |     5.000e-04 |    46.8130 |         43.7052 |     7.5364 |          4.7284 |            2357
00:54:36 |    10 |     5.000e-04 |    43.0526 |         39.4946 |     6.6981 |          4.5180 |            2357
00:54:44 |    11 |     5.000e-04 |    39.3338 |         36.1307 |     6.3237 |          4.3219 |            2357
00:54:52 |    12 |     5.000e-04 |    35.9219 |         35.6442 |     8.2908 |          4.1483 |            2357
00:55:01 |    13 |     5.000e-04 |    34.2812 |         31.3300 |     6.1685 |          3.9930 |            2357
00:55:09 |    14 |     5.000e-04 |    32.1799 |         28.7502 |     5.4357 |          3.8458 |            2357
00:55:18 |    15 |     5.000e-04 |    28.6241 |         29.9876 |     8.8126 |          3.7208 |            2357
00:55:27 |    16 |     5.000e-04 |    27.3599 |         25.9861 |     6.0557 |          3.6006 |            2357
00:55:36 |    17 |     5.000e-04 |    25.0648 |         23.3308 |     4.3722 |          3.4878 |            2357
00:55:45 |    18 |     5.000e-04 |    23.6115 |         33.9367 |    15.5627 |          3.3863 |            2357
00:55:54 |    19 |     5.000e-04 |    23.0355 |         22.8821 |     6.5544 |          3.3061 |            2357
00:56:03 |    20 |     5.000e-04 |    22.6454 |         21.0411 |     6.1451 |          3.2059 |            2357
00:56:11 |    21 |     5.000e-04 |    19.7130 |         18.3912 |     3.2162 |          3.1234 |            2357
00:56:20 |    22 |     5.000e-04 |    18.8278 |         17.5643 |     3.2935 |          3.0474 |            2381
00:56:29 |    23 |     5.000e-04 |    17.8601 |         16.6385 |     2.9525 |          2.9727 |            2381
00:56:37 |    24 |     5.000e-04 |    17.5160 |         18.4293 |     6.9184 |          2.9080 |            2381
00:56:46 |    25 |     5.000e-04 |    22.3669 |         15.2232 |     2.9097 |          2.8380 |            2381
00:56:55 |    26 |     5.000e-04 |    18.6842 |         16.9688 |     7.0386 |          2.7802 |            2381
00:57:04 |    27 |     5.000e-04 |    15.9900 |         13.9449 |     2.6033 |          2.7217 |            2381
00:57:13 |    28 |     5.000e-04 |    18.5501 |         19.2583 |    10.7674 |          2.6659 |            2381
00:57:21 |    29 |     5.000e-04 |    44.7161 |         14.3833 |     5.1226 |          2.6134 |            2381
00:57:31 |    30 |     5.000e-04 |    19.3461 |         90.0289 |    39.2718 |          2.5636 |            2381
00:57:39 |    31 |     5.000e-04 |    86.9261 |         17.7627 |     9.1685 |          2.6171 |            2381
00:57:48 |    32 |     5.000e-04 |  1006.6403 |         59.0869 |    25.5893 |          2.8899 |            2381
00:57:57 |    33 |     5.000e-04 |    19.5355 |         12.5062 |     3.1396 |          2.5133 |            2381
00:58:06 |    34 |     5.000e-04 |    17.3843 |         25.7552 |    16.8641 |          2.4358 |            2381
00:58:14 |    35 |     5.000e-04 |    25.2528 |        321.9002 |    78.6007 |          2.4016 |            2381
00:58:22 |    36 |     5.000e-04 |   112.0831 |         90.6519 |    39.6632 |          2.4269 |            2381
00:58:31 |    37 |     5.000e-04 |   101.4880 |         58.9926 |    31.0822 |          2.3481 |            2381
00:58:40 |    38 |     5.000e-04 |   332.5452 |        234.5336 |    52.0081 |          4.0425 |            2381
00:58:49 |    39 |     5.000e-04 |   228.9294 |         25.4038 |    14.1668 |          2.3636 |            2381
00:58:58 |    40 |     5.000e-04 |   126.5062 |        280.3035 |    70.8050 |          3.1861 |            2381
00:59:07 |    41 |     5.000e-04 |   565.9318 |         24.5619 |    14.0738 |          2.5395 |            2381
00:59:16 |    42 |     5.000e-04 |    17.8608 |         19.5819 |    13.4511 |          2.2565 |            2381
00:59:24 |    43 |     5.000e-04 |    13.8599 |         38.0717 |    23.1815 |          2.1963 |            2381
00:59:34 |    44 |     5.000e-04 |    17.4686 |          9.5892 |     3.2510 |          2.1259 |            2381
00:59:43 |    45 |     5.000e-04 |    19.2723 |         13.9342 |     9.4955 |          2.1041 |            2381
00:59:51 |    46 |     5.000e-04 |   149.0974 |         83.9790 |    33.7199 |          2.5533 |            2381
01:00:00 |    47 |     5.000e-04 |    45.4724 |         70.1930 |    35.1292 |          2.0797 |            2381
01:00:09 |    48 |     5.000e-04 |    27.5349 |          9.0323 |     4.1974 |          2.0161 |            2381
01:00:18 |    49 |     5.000e-04 |   540.4038 |        313.9241 |    65.5661 |          4.7524 |            2381
01:00:27 |    50 |     5.000e-04 |    95.1010 |         10.0201 |     2.9435 |          2.1874 |            2381
01:00:36 |    51 |     5.000e-04 |    17.5655 |          9.4773 |     4.1547 |          2.0603 |            2381
01:00:45 |    52 |     5.000e-04 |    14.2815 |          9.9718 |     6.1549 |          1.9764 |            2381
01:00:54 |    53 |     5.000e-04 |    31.5516 |         10.9173 |     7.3867 |          1.9675 |            2381
01:01:03 |    54 |     5.000e-04 |   154.3731 |         16.3806 |    11.7721 |          2.1239 |            2381
01:01:12 |    55 |     5.000e-04 |    27.7838 |         57.4313 |    31.0282 |          1.9670 |            2381
01:01:20 |    56 |     5.000e-04 |    62.1933 |         35.6730 |    22.9065 |          1.9967 |            2381
01:01:28 |    57 |     5.000e-04 |    37.4920 |        217.3945 |    58.6684 |          2.2442 |            2381
01:01:37 |    58 |     5.000e-04 |   116.3332 |         24.1300 |    18.2384 |          1.8938 |            2381
01:01:46 |    59 |     5.000e-04 |    10.4857 |          7.2876 |     4.1090 |          1.7920 |            2381
01:01:54 |    60 |     5.000e-04 |    30.1356 |         60.8349 |    29.6392 |          1.9352 |            2381
01:02:03 |    61 |     5.000e-04 |   139.1050 |         52.8652 |    28.8513 |          1.8897 |            2381
01:02:11 |    62 |     5.000e-04 |    53.4694 |        304.2096 |    76.5667 |          2.2083 |            2381
01:02:20 |    63 |     5.000e-04 |    42.1132 |         77.7337 |    37.6122 |          1.8028 |            2381
01:02:28 |    64 |     5.000e-04 |    21.4307 |         15.1082 |    10.9947 |          1.8755 |            2381
