    Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
00:45:54 |     1 |     5.000e-04 | 300355.7712 |        629.2036 |    36.5563 |         17.2359 |            2309
00:46:04 |     2 |     5.000e-04 |   439.1494 |        349.2207 |    29.9834 |         12.8771 |            2318
00:46:13 |     3 |     5.000e-04 |   269.2618 |        230.3408 |    23.4588 |         10.6194 |            2318
00:46:22 |     4 |     5.000e-04 |   188.6683 |        159.6299 |    16.3715 |          9.0468 |            2354
00:46:31 |     5 |     5.000e-04 |   141.0339 |        136.1450 |    20.7978 |          7.8742 |            2376
00:46:40 |     6 |     5.000e-04 |   111.0789 |         99.3784 |    14.2170 |          7.0031 |            2376
00:46:49 |     7 |     5.000e-04 |    87.2324 |         89.5050 |    17.4316 |          6.3273 |            2376
00:46:58 |     8 |     5.000e-04 |    71.4858 |         63.3389 |     8.3829 |          5.7890 |            2376
00:47:06 |     9 |     5.000e-04 |    62.1923 |         54.3276 |     6.8140 |          5.3818 |            2376
00:47:15 |    10 |     5.000e-04 |    53.8161 |         49.0564 |     6.9883 |          5.0592 |            2376
00:47:24 |    11 |     5.000e-04 |    49.6393 |         43.2172 |     5.8365 |          4.8088 |            2376
00:47:33 |    12 |     5.000e-04 |    42.9859 |         39.7493 |     6.2225 |          4.5891 |            2376
00:47:41 |    13 |     5.000e-04 |    39.4483 |         38.4613 |     8.2176 |          4.4090 |            2376
00:47:50 |    14 |     5.000e-04 |    38.3601 |         33.7700 |     4.7353 |          4.2552 |            2376
00:47:58 |    15 |     5.000e-04 |    34.4024 |         36.4695 |    10.6151 |          4.1176 |            2376
00:48:07 |    16 |     5.000e-04 |    31.8064 |         31.2405 |     6.6393 |          3.9964 |            2376
00:48:16 |    17 |     5.000e-04 |    31.8441 |         29.9059 |     7.0191 |          3.8801 |            2376
00:48:25 |    18 |     5.000e-04 |    28.9572 |         27.5281 |     5.7313 |          3.7724 |            2376
00:48:34 |    19 |     5.000e-04 |    27.9523 |         26.5914 |     5.9057 |          3.6729 |            2376
00:48:43 |    20 |     5.000e-04 |    29.7927 |         48.2715 |    21.4191 |          3.6028 |            2376
00:48:52 |    21 |     5.000e-04 |    33.0970 |         23.1536 |     4.0718 |          3.5022 |            2376
00:49:01 |    22 |     5.000e-04 |    27.3131 |         23.9526 |     7.2058 |          3.4098 |            2376
00:49:09 |    23 |     5.000e-04 |    31.2070 |         20.9930 |     3.5075 |          3.3328 |            2376
00:49:17 |    24 |     5.000e-04 |    28.8504 |         26.2377 |    10.7811 |          3.2610 |            2376
00:49:26 |    25 |     5.000e-04 |    31.3993 |         30.9573 |    13.1016 |          3.2354 |            2376
00:49:35 |    26 |     5.000e-04 |    38.9081 |         18.6105 |     3.4292 |          3.1259 |            2376
00:49:44 |    27 |     5.000e-04 |    99.0931 |        554.3536 |   102.2874 |          3.2449 |            2376
00:49:52 |    28 |     5.000e-04 |   295.5977 |         18.4196 |     4.7261 |          3.0198 |            2376
00:50:01 |    29 |     5.000e-04 |   135.7033 |         19.3569 |     6.6998 |          2.9980 |            2376
00:50:09 |    30 |     5.000e-04 |   106.1136 |        143.9941 |    50.0745 |          2.9423 |            2376
00:50:18 |    31 |     5.000e-04 |   190.5264 |         20.4880 |     8.1215 |          2.9336 |            2376
00:50:27 |    32 |     5.000e-04 |   299.9088 |       6970.7490 |   339.7991 |          6.7478 |            2376
